,EmployeeID,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
2459,2460,1.0,3.0,3.0,4,3,31,No,Travel_Rarely,Research & Development,1.875,2,Life Sciences,Male,3,Laboratory Technician,Married,1008.28,1.0,Y,15,8,2,6.0,3,5,0,2
2460,2461,3.0,4.0,2.0,2,3,27,No,Travel_Rarely,Sales,1.875,3,Life Sciences,Male,1,Manager,Single,870.2199999999999,1.0,Y,13,8,1,6.0,2,6,1,4
2461,2462,2.0,2.0,3.0,3,3,29,Yes,Travel_Rarely,Sales,2.5,3,Marketing,Male,5,Research Scientist,Single,479.83,1.0,Y,13,8,0,2.0,3,2,2,2
2462,2463,4.0,3.0,4.0,3,4,29,No,Travel_Frequently,Research & Development,5.0,4,Life Sciences,Female,1,Sales Executive,Single,309.01,8.0,Y,21,8,1,10.0,2,3,0,2
2463,2464,3.0,1.0,3.0,3,3,30,No,Travel_Rarely,Sales,4.375,3,Life Sciences,Male,3,Sales Executive,Divorced,300.69,2.0,Y,11,8,0,12.0,5,7,1,7
2464,2465,4.0,4.0,3.0,2,3,34,No,Travel_Rarely,Research & Development,0.625,2,Medical,Female,2,Healthcare Representative,Married,2296.45,0.0,Y,11,8,0,6.0,5,5,1,2
2465,2466,4.0,2.0,2.0,3,3,33,No,Non-Travel,Research & Development,1.25,4,Medical,Male,1,Sales Representative,Single,337.47999999999996,8.0,Y,14,8,1,13.0,4,11,1,7
2466,2467,4.0,4.0,4.0,3,3,49,No,Travel_Rarely,Sales,1.875,4,Marketing,Male,1,Sales Executive,Single,614.64,3.0,Y,11,8,1,8.0,4,5,0,4
2467,2468,1.0,1.0,2.0,1,3,33,Yes,Travel_Rarely,Research & Development,6.25,3,Life Sciences,Male,1,Sales Executive,Single,559.26,2.0,Y,13,8,0,11.0,3,0,0,0
2468,2469,3.0,2.0,2.0,3,3,38,No,Travel_Frequently,Research & Development,17.5,3,Medical,Male,1,Healthcare Representative,Married,387.27,4.0,Y,12,8,1,9.0,3,6,0,5
2469,2470,1.0,3.0,3.0,3,3,31,Yes,Travel_Rarely,Human Resources,5.625,4,Human Resources,Male,2,Laboratory Technician,Married,2195.0499999999997,2.0,Y,14,8,2,10.0,2,1,0,0
2470,2471,4.0,1.0,3.0,3,3,29,No,Travel_Rarely,Research & Development,1.875,4,Other,Female,2,Sales Representative,Divorced,727.0899999999999,1.0,Y,13,8,1,1.0,3,1,0,0
2471,2472,3.0,3.0,3.0,3,3,30,No,Travel_Rarely,Research & Development,1.25,1,Medical,Male,1,Sales Representative,Married,1357.85,3.0,Y,18,8,1,10.0,3,7,1,7
2472,2473,2.0,2.0,3.0,3,3,32,No,Non-Travel,Research & Development,6.25,4,Life Sciences,Female,1,Laboratory Technician,Single,1136.2,2.0,Y,11,8,1,12.0,2,7,0,7
2473,2474,2.0,4.0,3.0,2,3,38,No,Travel_Rarely,Research & Development,5.0,2,Technical Degree,Female,1,Manufacturing Director,Married,326.82,3.0,Y,11,8,0,15.0,2,1,1,0
2474,2475,3.0,3.0,3.0,3,3,43,Yes,Travel_Frequently,Research & Development,0.625,4,Other,Male,3,Sales Executive,Married,995.15,9.0,Y,12,8,1,6.0,3,1,0,0
2475,2476,2.0,2.0,2.0,3,3,42,No,Travel_Rarely,Human Resources,0.625,3,Other,Female,1,Healthcare Representative,Divorced,2270.45,8.0,Y,13,8,1,7.0,3,5,0,4
2477,2478,4.0,2.0,2.0,3,3,33,No,Non-Travel,Research & Development,8.75,3,Other,Male,1,Research Scientist,Divorced,1406.6,5.0,Y,12,8,0,11.0,2,9,1,7
2479,2480,4.0,3.0,3.0,2,4,34,No,Non-Travel,Research & Development,4.375,4,Medical,Female,1,Research Scientist,Divorced,2551.38,1.0,Y,21,8,0,15.0,5,15,0,7
2480,2481,1.0,3.0,2.0,4,3,53,No,Non-Travel,Research & Development,6.25,4,Medical,Male,2,Healthcare Representative,Married,269.09999999999997,4.0,Y,13,8,2,27.0,2,3,0,2
2481,2482,2.0,4.0,3.0,3,3,43,No,Travel_Rarely,Sales,10.0,2,Marketing,Female,1,Laboratory Technician,Single,881.66,0.0,Y,16,8,1,10.0,2,9,1,8
2482,2483,4.0,4.0,3.0,3,3,34,No,Travel_Rarely,Sales,6.25,2,Life Sciences,Female,5,Sales Executive,Single,1011.27,5.0,Y,12,8,1,6.0,2,2,2,2
2483,2484,2.0,2.0,3.0,4,3,21,Yes,Travel_Rarely,Sales,0.625,2,Marketing,Male,5,Healthcare Representative,Single,362.83,1.0,Y,14,8,0,1.0,3,1,1,0
2484,2485,4.0,3.0,3.0,2,3,38,No,Travel_Rarely,Research & Development,5.0,2,Life Sciences,Female,2,Sales Executive,Married,416.13,1.0,Y,11,8,1,5.0,3,5,0,4
2485,2486,3.0,1.0,3.0,3,3,22,Yes,Travel_Rarely,Research & Development,0.625,3,Other,Male,4,Research Scientist,Married,645.8399999999999,1.0,Y,14,8,0,1.0,3,1,0,0
2486,2487,1.0,4.0,3.0,2,3,31,No,Travel_Rarely,Research & Development,5.0,5,Life Sciences,Male,5,Sales Executive,Married,1705.6,1.0,Y,12,8,2,13.0,6,12,5,7
2487,2488,1.0,3.0,3.0,3,3,51,No,Travel_Rarely,Research & Development,0.625,4,Life Sciences,Female,1,Manager,Married,524.29,2.0,Y,14,8,0,15.0,2,2,2,2
2488,2489,2.0,2.0,3.0,2,3,37,No,Travel_Rarely,Research & Development,15.0,1,Life Sciences,Male,2,Sales Executive,Married,427.83,1.0,Y,16,8,3,5.0,2,5,0,3
2489,2490,3.0,4.0,3.0,4,3,46,No,Travel_Rarely,Sales,1.875,4,Marketing,Female,1,Sales Representative,Divorced,555.36,7.0,Y,13,8,0,24.0,3,2,2,2
2490,2491,4.0,1.0,3.0,2,3,36,No,Travel_Rarely,Research & Development,16.875,3,Technical Degree,Female,4,Research Scientist,Married,657.28,7.0,Y,12,8,0,15.0,2,12,5,7
2491,2492,3.0,2.0,2.0,4,3,44,Yes,Travel_Frequently,Sales,6.25,4,Life Sciences,Male,1,Research Scientist,Divorced,369.71999999999997,1.0,Y,12,8,0,6.0,2,5,2,3
2492,2493,3.0,2.0,2.0,3,3,37,No,Travel_Rarely,Research & Development,11.875,2,Technical Degree,Male,2,Sales Executive,Divorced,351.39,2.0,Y,14,8,0,19.0,2,10,4,7
2493,2494,3.0,4.0,3.0,3,4,35,Yes,Travel_Rarely,Research & Development,9.375,4,Life Sciences,Male,2,Research Scientist,Single,247.51999999999998,1.0,Y,22,8,1,10.0,4,10,7,7
2494,2495,4.0,1.0,3.0,3,3,33,No,Travel_Rarely,Research & Development,5.0,5,Medical,Male,2,Laboratory Technician,Married,1069.12,6.0,Y,19,8,0,14.0,3,10,7,6
2495,2496,3.0,4.0,4.0,3,3,28,No,Travel_Rarely,Sales,5.625,3,Medical,Female,2,Sales Executive,Married,619.5799999999999,1.0,Y,12,8,0,5.0,3,5,0,3
2496,2497,3.0,3.0,3.0,2,3,39,No,Travel_Rarely,Sales,1.875,4,Marketing,Female,2,Laboratory Technician,Single,339.3,7.0,Y,12,8,0,9.0,2,4,2,2
2497,2498,2.0,2.0,3.0,3,3,46,No,Non-Travel,Research & Development,5.625,2,Life Sciences,Male,2,Manufacturing Director,Single,745.03,8.0,Y,17,8,0,6.0,2,2,2,2
2498,2499,3.0,1.0,2.0,3,3,40,No,Travel_Rarely,Research & Development,1.25,2,Medical,Male,1,Research Director,Married,330.07,4.0,Y,12,8,1,7.0,3,4,0,2
2499,2500,2.0,1.0,2.0,3,3,42,No,Travel_Rarely,Research & Development,4.375,4,Other,Female,2,Laboratory Technician,Married,742.8199999999999,5.0,Y,11,8,0,10.0,2,0,0,0
2500,2501,2.0,4.0,3.0,3,3,35,No,Non-Travel,Sales,6.25,1,Life Sciences,Female,2,Research Director,Divorced,561.99,2.0,Y,18,8,3,15.0,3,7,1,7
2501,2502,1.0,2.0,3.0,3,3,38,No,Non-Travel,Sales,3.75,4,Marketing,Male,3,Sales Executive,Divorced,953.68,5.0,Y,11,8,0,13.0,3,11,3,8
2502,2503,4.0,1.0,2.0,4,4,34,Yes,Travel_Frequently,Research & Development,1.25,1,Life Sciences,Male,1,Manufacturing Director,Married,1754.87,4.0,Y,23,8,2,11.0,2,7,0,7
2503,2504,4.0,1.0,1.0,3,3,37,Yes,Travel_Rarely,Research & Development,15.0,3,Life Sciences,Male,1,Laboratory Technician,Single,1788.54,1.0,Y,11,8,1,10.0,5,10,0,8
2504,2505,3.0,4.0,3.0,2,3,39,No,Travel_Frequently,Research & Development,1.25,1,Medical,Male,2,Healthcare Representative,Divorced,670.15,2.0,Y,18,8,1,7.0,3,2,2,2
2505,2506,1.0,3.0,2.0,3,3,43,No,Non-Travel,Human Resources,5.0,5,Medical,Female,3,Sales Executive,Single,293.53999999999996,4.0,Y,18,8,0,7.0,2,3,1,2
2506,2507,2.0,2.0,1.0,1,3,41,No,Travel_Rarely,Research & Development,1.875,3,Life Sciences,Male,3,Research Scientist,Single,467.60999999999996,3.0,Y,13,8,1,11.0,2,3,1,2
2507,2508,3.0,3.0,4.0,2,3,41,No,Travel_Rarely,Research & Development,0.625,1,Technical Degree,Male,3,Laboratory Technician,Divorced,326.95,0.0,Y,18,8,0,23.0,2,22,13,5
2508,2509,1.0,3.0,3.0,3,3,30,No,Travel_Rarely,Sales,16.25,3,Marketing,Female,2,Manager,Single,574.6,9.0,Y,11,8,0,9.0,3,7,0,2
2509,2510,4.0,2.0,3.0,2,3,26,Yes,Travel_Rarely,Human Resources,1.25,1,Technical Degree,Female,3,Sales Executive,Married,855.14,0.0,Y,15,8,2,6.0,3,5,1,4
2510,2511,4.0,2.0,4.0,3,3,46,Yes,Travel_Rarely,Research & Development,6.25,3,Medical,Male,1,Sales Executive,Married,574.86,4.0,Y,11,8,1,13.0,2,9,3,7
2511,2512,3.0,4.0,3.0,3,3,40,No,Travel_Rarely,Sales,16.875,2,Medical,Female,3,Sales Executive,Divorced,1335.62,4.0,Y,18,8,0,12.0,3,5,0,3
2512,2513,2.0,3.0,3.0,2,3,34,No,Travel_Rarely,Research & Development,1.25,3,Life Sciences,Male,2,Laboratory Technician,Married,694.5899999999999,1.0,Y,14,8,0,10.0,5,10,4,8
2513,2514,2.0,2.0,2.0,3,3,58,No,Non-Travel,Research & Development,1.25,4,Medical,Male,1,Laboratory Technician,Divorced,308.88,4.0,Y,12,8,1,37.0,3,16,14,14
2514,2515,2.0,3.0,4.0,2,3,35,No,Travel_Rarely,Research & Development,5.0,1,Technical Degree,Female,3,Manufacturing Director,Married,694.98,0.0,Y,14,8,0,6.0,3,5,0,3
2515,2516,3.0,2.0,3.0,3,3,47,No,Travel_Rarely,Research & Development,11.875,5,Medical,Female,2,Research Scientist,Divorced,367.51,8.0,Y,14,8,1,28.0,3,22,14,10
2516,2517,2.0,1.0,3.0,3,3,40,No,Travel_Rarely,Research & Development,0.625,4,Life Sciences,Male,2,Manager,Divorced,2592.5899999999997,2.0,Y,13,8,1,15.0,3,7,7,7
2517,2518,4.0,4.0,2.0,2,3,54,No,Travel_Rarely,Sales,16.875,4,Medical,Male,1,Research Scientist,Married,407.03,4.0,Y,14,8,0,14.0,3,7,1,7
2518,2519,1.0,1.0,3.0,3,3,31,No,Travel_Frequently,Sales,5.0,4,Other,Female,3,Manufacturing Director,Married,331.76,2.0,Y,18,8,0,9.0,2,3,2,2
2519,2520,3.0,1.0,3.0,3,3,28,No,Travel_Rarely,Sales,0.625,2,Life Sciences,Male,3,Manager,Married,582.01,1.0,Y,15,8,0,3.0,6,3,1,2
2520,2521,2.0,4.0,2.0,1,3,38,No,Travel_Rarely,Research & Development,11.875,3,Medical,Female,2,Manufacturing Director,Married,841.62,2.0,Y,13,8,2,20.0,3,4,0,3
2521,2522,3.0,4.0,3.0,2,3,26,No,Travel_Rarely,Sales,5.0,3,Marketing,Female,1,Healthcare Representative,Single,394.28999999999996,1.0,Y,12,8,0,5.0,2,5,1,2
2522,2523,1.0,3.0,3.0,3,3,58,No,Travel_Frequently,Research & Development,6.25,4,Technical Degree,Female,1,Sales Representative,Married,381.68,2.0,Y,13,8,1,23.0,3,2,2,2
2523,2524,2.0,3.0,1.0,3,4,18,No,Non-Travel,Research & Development,1.25,3,Life Sciences,Male,3,Sales Representative,Single,2418.7799999999997,1.0,Y,24,8,2,0.0,4,0,0,0
2524,2525,4.0,1.0,3.0,3,3,31,Yes,Travel_Rarely,Research & Development,1.25,3,Life Sciences,Male,3,Laboratory Technician,Married,281.84,0.0,Y,14,8,1,2.0,2,1,0,0
2525,2526,1.0,1.0,3.0,2,3,29,Yes,Travel_Rarely,Research & Development,5.0,2,Medical,Male,1,Manager,Divorced,370.89,4.0,Y,14,8,1,4.0,5,2,2,0
2526,2527,3.0,3.0,4.0,2,3,45,No,Non-Travel,Sales,0.625,4,Technical Degree,Male,1,Research Scientist,Married,2216.24,4.0,Y,15,8,0,10.0,3,8,5,7
2527,2528,4.0,2.0,3.0,3,3,36,No,Travel_Rarely,Sales,1.25,3,Technical Degree,Female,5,Laboratory Technician,Married,297.7,4.0,Y,11,8,0,15.0,5,1,0,0
2528,2529,1.0,4.0,3.0,3,4,43,No,Travel_Frequently,Sales,5.0,3,Medical,Male,1,Research Director,Married,468.0,1.0,Y,23,8,0,7.0,2,7,7,7
2529,2530,4.0,4.0,2.0,3,3,27,No,Travel_Frequently,Sales,5.0,4,Life Sciences,Male,5,Research Scientist,Single,273.90999999999997,0.0,Y,13,8,0,6.0,2,5,0,2
2530,2531,4.0,4.0,4.0,3,3,29,No,Travel_Frequently,Research & Development,3.75,2,Medical,Male,1,Human Resources,Married,534.9499999999999,1.0,Y,11,8,0,11.0,1,11,3,10
2531,2532,4.0,4.0,4.0,3,3,32,No,Travel_Frequently,Sales,5.625,4,Life Sciences,Male,4,Sales Executive,Single,562.51,8.0,Y,13,8,0,4.0,4,0,0,0
2532,2533,3.0,3.0,2.0,3,3,42,No,Non-Travel,Research & Development,6.875,3,Medical,Male,1,Manager,Married,2321.2799999999997,3.0,Y,18,8,0,10.0,2,6,3,3
2533,2534,2.0,3.0,3.0,2,3,47,No,Travel_Rarely,Sales,1.25,2,Life Sciences,Female,5,Manager,Single,415.47999999999996,4.0,Y,14,8,1,7.0,3,2,2,0
2534,2535,4.0,4.0,2.0,3,4,46,No,Travel_Rarely,Human Resources,0.625,3,Life Sciences,Female,1,Laboratory Technician,Divorced,2480.5299999999997,3.0,Y,21,8,0,12.0,2,9,4,7
2535,2536,3.0,4.0,3.0,2,3,28,No,Non-Travel,Research & Development,4.375,3,Life Sciences,Male,1,Sales Executive,Divorced,1165.58,1.0,Y,16,8,1,3.0,3,3,2,2
2536,2537,4.0,3.0,3.0,3,3,29,No,Travel_Rarely,Research & Development,10.0,3,Medical,Female,1,Manufacturing Director,Divorced,287.3,8.0,Y,11,8,1,11.0,4,7,1,6
2537,2538,4.0,3.0,3.0,3,3,42,No,Travel_Rarely,Sales,1.25,4,Medical,Female,2,Research Director,Single,590.0699999999999,4.0,Y,17,8,1,8.0,5,0,0,0
2538,2539,3.0,2.0,2.0,3,3,32,Yes,Travel_Rarely,Research & Development,0.625,1,Medical,Male,2,Laboratory Technician,Single,356.33,7.0,Y,11,8,0,7.0,3,2,2,2
2539,2540,1.0,1.0,3.0,3,3,46,No,Travel_Rarely,Research & Development,14.375,1,Life Sciences,Male,2,Laboratory Technician,Divorced,453.83,2.0,Y,14,8,0,25.0,0,19,2,8
2540,2541,2.0,3.0,3.0,4,3,27,No,Travel_Rarely,Sales,1.25,3,Life Sciences,Female,5,Research Scientist,Married,590.3299999999999,1.0,Y,14,8,2,9.0,4,9,5,8
2541,2542,4.0,2.0,3.0,3,4,29,No,Travel_Rarely,Research & Development,0.625,2,Medical,Male,3,Sales Executive,Married,348.14,1.0,Y,25,8,1,1.0,3,1,0,0
2542,2543,1.0,3.0,3.0,2,3,43,No,Travel_Rarely,Research & Development,0.625,3,Life Sciences,Male,1,Manufacturing Director,Married,959.27,7.0,Y,13,8,2,21.0,3,16,6,14
2543,2544,4.0,2.0,3.0,2,3,48,No,Travel_Rarely,Research & Development,1.25,3,Life Sciences,Female,2,Manager,Married,815.36,4.0,Y,14,8,0,29.0,3,22,12,9
2544,2545,4.0,4.0,2.0,2,3,29,Yes,Travel_Frequently,Research & Development,8.125,2,Life Sciences,Female,1,Laboratory Technician,Single,678.6,1.0,Y,17,8,0,1.0,3,1,1,0
2545,2546,3.0,2.0,3.0,4,4,46,Yes,Travel_Rarely,Research & Development,2.5,4,Medical,Female,2,Sales Representative,Married,356.59,5.0,Y,25,8,1,14.0,1,8,0,7
2546,2547,4.0,1.0,2.0,3,4,27,No,Travel_Frequently,Research & Development,10.0,4,Medical,Male,3,Healthcare Representative,Married,649.74,0.0,Y,20,8,2,8.0,3,7,7,3
2547,2548,4.0,4.0,3.0,3,3,39,No,Travel_Rarely,Research & Development,1.25,3,Technical Degree,Male,3,Healthcare Representative,Divorced,1332.76,8.0,Y,13,8,1,7.0,3,2,2,2
2548,2549,2.0,4.0,4.0,3,3,55,No,Travel_Rarely,Research & Development,1.25,3,Life Sciences,Female,1,Human Resources,Married,361.53,8.0,Y,13,8,1,19.0,2,5,0,4
2549,2550,2.0,2.0,3.0,4,3,28,No,Travel_Rarely,Research & Development,18.125,2,Life Sciences,Male,2,Laboratory Technician,Married,890.76,1.0,Y,18,8,1,1.0,2,1,0,0
2550,2551,2.0,4.0,2.0,3,3,30,Yes,Travel_Rarely,Sales,7.5,4,Life Sciences,Female,2,Sales Executive,Single,643.5,1.0,Y,12,8,2,1.0,3,1,0,0
2551,2552,4.0,2.0,3.0,3,3,22,Yes,Travel_Rarely,Research & Development,10.0,2,Life Sciences,Female,2,Laboratory Technician,Single,465.27,1.0,Y,19,8,3,1.0,3,1,0,0
2552,2553,2.0,3.0,3.0,2,3,36,No,Travel_Rarely,Research & Development,6.875,3,Life Sciences,Male,1,Sales Executive,Married,1714.83,1.0,Y,14,8,1,10.0,2,10,1,7
2553,2554,2.0,3.0,3.0,3,3,31,No,Travel_Rarely,Research & Development,1.25,4,Life Sciences,Female,5,Manager,Divorced,1349.01,1.0,Y,14,8,0,10.0,2,10,0,2
2554,2555,3.0,4.0,3.0,3,3,34,No,Travel_Rarely,Sales,8.75,2,Technical Degree,Female,1,Sales Executive,Married,290.55,2.0,Y,14,8,1,9.0,2,5,1,0
2555,2556,4.0,1.0,3.0,2,3,29,No,Travel_Rarely,Research & Development,3.125,5,Life Sciences,Female,1,Sales Executive,Single,1365.26,3.0,Y,12,8,0,11.0,4,3,1,2
2556,2557,4.0,1.0,3.0,4,3,37,No,Travel_Rarely,Research & Development,4.375,2,Medical,Male,1,Manufacturing Director,Married,261.43,5.0,Y,13,8,0,16.0,4,5,0,4
2557,2558,4.0,2.0,3.0,2,4,35,No,Travel_Rarely,Sales,1.25,1,Technical Degree,Male,2,Laboratory Technician,Married,241.67,0.0,Y,25,8,1,4.0,2,3,0,2
2558,2559,2.0,4.0,2.0,2,3,45,No,Travel_Rarely,Research & Development,1.875,3,Medical,Female,2,Sales Executive,Married,488.79999999999995,0.0,Y,14,8,1,10.0,2,9,3,8
2559,2560,2.0,4.0,2.0,1,3,36,No,Travel_Frequently,Research & Development,3.125,3,Medical,Female,4,Manufacturing Director,Single,2311.27,1.0,Y,17,8,1,10.0,5,10,0,8
2560,2561,1.0,1.0,3.0,3,3,40,No,Travel_Rarely,Research & Development,1.875,3,Other,Male,1,Sales Executive,Divorced,888.29,2.0,Y,13,8,0,22.0,3,19,11,16
2561,2562,2.0,3.0,2.0,2,3,26,No,Travel_Rarely,Research & Development,16.25,2,Life Sciences,Male,2,Human Resources,Married,885.56,1.0,Y,13,8,0,1.0,2,1,1,0
2562,2563,1.0,3.0,2.0,2,4,27,No,Travel_Rarely,Research & Development,2.5,3,Technical Degree,Male,2,Manufacturing Director,Single,672.23,0.0,Y,20,8,1,9.0,1,8,0,7
2563,2564,4.0,4.0,3.0,4,3,48,No,Travel_Frequently,Research & Development,1.25,3,Life Sciences,Male,2,Research Director,Divorced,2566.2,3.0,Y,14,8,0,24.0,2,22,4,7
2564,2565,2.0,1.0,3.0,3,3,44,No,Travel_Rarely,Sales,0.625,2,Medical,Male,4,Manager,Married,2432.43,2.0,Y,12,8,1,10.0,0,2,2,2
2565,2566,4.0,1.0,3.0,3,3,34,Yes,Non-Travel,Research & Development,16.875,2,Life Sciences,Female,1,Sales Representative,Married,479.96,1.0,Y,12,8,1,5.0,5,5,3,0
2566,2567,1.0,4.0,3.0,3,4,56,Yes,Travel_Rarely,Human Resources,0.625,2,Medical,Female,5,Sales Executive,Single,332.66999999999996,1.0,Y,21,8,0,5.0,3,4,1,0
2567,2568,3.0,2.0,1.0,3,3,36,No,Travel_Rarely,Research & Development,8.125,3,Technical Degree,Female,3,Healthcare Representative,Married,327.21,2.0,Y,14,8,0,12.0,3,4,1,3
2569,2570,3.0,1.0,4.0,3,3,42,No,Travel_Rarely,Research & Development,4.375,3,Technical Degree,Female,2,Sales Executive,Married,2374.45,9.0,Y,12,8,1,18.0,4,13,5,7
2570,2571,3.0,4.0,3.0,2,4,31,No,Travel_Rarely,Sales,5.625,4,Life Sciences,Female,1,Sales Executive,Divorced,2096.12,2.0,Y,23,8,1,8.0,2,5,1,4
2571,2572,4.0,4.0,2.0,3,3,34,No,Travel_Rarely,Research & Development,5.0,1,Life Sciences,Female,3,Laboratory Technician,Married,336.05,3.0,Y,12,8,0,9.0,5,4,0,1
2572,2573,1.0,3.0,2.0,4,4,31,No,Travel_Rarely,Sales,15.625,2,Life Sciences,Female,3,Manufacturing Director,Divorced,2367.69,8.0,Y,21,8,2,4.0,3,2,2,2
2573,2574,3.0,4.0,3.0,4,3,26,No,Travel_Frequently,Sales,10.0,2,Life Sciences,Male,2,Healthcare Representative,Married,1089.3999999999999,0.0,Y,14,8,0,8.0,3,7,7,7
2574,2575,2.0,3.0,3.0,3,3,45,No,Travel_Frequently,Research & Development,5.0,4,Life Sciences,Female,2,Manager,Single,389.21999999999997,4.0,Y,18,8,1,12.0,2,4,0,3
2575,2576,2.0,3.0,2.0,3,3,33,No,Travel_Rarely,Sales,0.625,3,Life Sciences,Female,5,Sales Executive,Single,158.98999999999998,1.0,Y,13,8,1,10.0,3,10,0,9
2576,2577,3.0,4.0,3.0,3,3,28,No,Travel_Frequently,Sales,5.0,3,Life Sciences,Male,4,Research Scientist,Married,145.34,1.0,Y,11,8,0,7.0,3,7,0,7
2577,2578,3.0,1.0,3.0,3,3,29,Yes,Travel_Frequently,Human Resources,1.25,4,Human Resources,Male,2,Sales Executive,Single,373.75,1.0,Y,11,8,0,1.0,3,1,0,0
2578,2579,1.0,3.0,3.0,3,3,39,No,Non-Travel,Research & Development,5.0,5,Medical,Female,2,Sales Representative,Married,2447.12,6.0,Y,19,8,1,10.0,4,3,1,2
2579,2580,2.0,2.0,2.0,3,3,27,No,Travel_Rarely,Sales,1.875,2,Technical Degree,Male,2,Healthcare Representative,Married,1765.01,1.0,Y,12,8,1,6.0,2,5,1,2
2580,2581,3.0,4.0,3.0,3,3,34,No,Travel_Frequently,Research & Development,5.625,4,Life Sciences,Female,2,Manufacturing Director,Married,341.25,1.0,Y,12,8,3,16.0,4,15,6,11
2581,2582,4.0,3.0,3.0,3,3,28,Yes,Travel_Rarely,Research & Development,15.625,3,Technical Degree,Male,1,Research Director,Single,2442.5699999999997,3.0,Y,16,8,1,6.0,4,2,2,2
2582,2583,3.0,2.0,4.0,3,3,47,No,Non-Travel,Research & Development,0.625,4,Medical,Male,1,Research Scientist,Married,589.9399999999999,8.0,Y,11,8,0,16.0,3,8,1,7
2584,2585,1.0,1.0,3.0,3,3,39,No,Travel_Rarely,Research & Development,0.625,3,Other,Female,1,Laboratory Technician,Married,1366.56,1.0,Y,12,8,1,10.0,2,10,7,9
2585,2586,4.0,2.0,3.0,3,3,38,No,Travel_Frequently,Research & Development,2.5,2,Medical,Female,1,Manager,Divorced,577.72,1.0,Y,13,8,0,20.0,2,20,0,7
2586,2587,4.0,4.0,2.0,3,4,58,No,Travel_Rarely,Sales,3.125,3,Marketing,Male,5,Sales Representative,Married,280.02,4.0,Y,21,8,1,29.0,3,1,0,0
2587,2588,1.0,3.0,3.0,3,3,32,Yes,Travel_Frequently,Research & Development,5.625,3,Life Sciences,Male,2,Laboratory Technician,Single,2494.7,3.0,Y,17,8,1,8.0,2,4,0,3
2588,2589,2.0,4.0,4.0,3,4,38,No,Travel_Rarely,Research & Development,1.875,4,Life Sciences,Female,1,Sales Representative,Divorced,583.6999999999999,2.0,Y,21,8,1,10.0,1,5,0,3
2589,2590,2.0,4.0,3.0,2,3,49,No,Travel_Frequently,Sales,6.875,4,Life Sciences,Male,2,Research Scientist,Married,455.78,3.0,Y,11,8,1,28.0,4,5,4,3
2590,2591,2.0,4.0,3.0,3,3,42,No,Travel_Rarely,Sales,0.625,3,Life Sciences,Female,1,Sales Executive,Divorced,308.36,3.0,Y,12,8,1,14.0,3,0,0,0
2591,2592,1.0,2.0,3.0,3,3,27,Yes,Travel_Frequently,Sales,5.0,1,Life Sciences,Male,4,Laboratory Technician,Married,1330.03,1.0,Y,13,8,1,1.0,2,1,0,0
2592,2593,2.0,1.0,1.0,3,3,35,No,Travel_Rarely,Research & Development,15.625,1,Medical,Male,1,Sales Executive,Married,703.3,0.0,Y,18,8,0,6.0,4,5,0,4
2593,2594,3.0,3.0,2.0,3,3,28,No,Non-Travel,Research & Development,13.125,1,Medical,Male,3,Research Scientist,Single,1037.1399999999999,1.0,Y,16,8,2,5.0,2,5,1,4
2594,2595,3.0,1.0,4.0,4,3,31,No,Non-Travel,Sales,14.375,1,Medical,Male,1,Sales Executive,Divorced,502.71,1.0,Y,11,8,1,4.0,4,4,2,3
2595,2596,1.0,2.0,3.0,1,3,36,No,Non-Travel,Research & Development,0.625,3,Life Sciences,Male,2,Research Scientist,Married,368.94,1.0,Y,19,8,2,5.0,5,5,0,2
2596,2597,1.0,4.0,2.0,3,3,34,No,Travel_Rarely,Sales,1.25,3,Marketing,Male,4,Healthcare Representative,Single,610.35,1.0,Y,16,8,1,14.0,2,14,2,1
2597,2598,4.0,3.0,2.0,2,3,34,No,Travel_Rarely,Research & Development,11.875,3,Technical Degree,Female,1,Research Director,Divorced,434.07,1.0,Y,16,8,0,9.0,2,8,1,1
2598,2599,3.0,1.0,2.0,4,3,26,No,Travel_Rarely,Research & Development,1.25,2,Life Sciences,Male,2,Research Scientist,Single,270.4,0.0,Y,13,8,0,8.0,6,7,7,6
2599,2600,1.0,1.0,2.0,4,4,29,No,Travel_Rarely,Research & Development,1.25,4,Other,Male,2,Laboratory Technician,Married,272.47999999999996,0.0,Y,22,8,0,6.0,2,5,0,2
2600,2601,3.0,4.0,3.0,4,3,32,No,Non-Travel,Research & Development,1.875,1,Life Sciences,Male,3,Manager,Divorced,807.17,5.0,Y,17,8,1,9.0,5,5,1,2
2601,2602,4.0,1.0,3.0,3,3,31,No,Travel_Frequently,Research & Development,15.625,5,Technical Degree,Female,2,Human Resources,Married,2347.93,1.0,Y,14,8,1,10.0,2,10,8,7
2602,2603,3.0,4.0,2.0,2,3,28,Yes,Travel_Rarely,Sales,4.375,5,Life Sciences,Female,2,Sales Representative,Divorced,2225.99,5.0,Y,15,8,1,6.0,2,4,0,3
